[Info]

Name = Break Car
Description = A test upgrade that breaks the entire car
Cost = 0
ExpiryTime = 0

[Handling]

TopSpeed = -1.9999								; Top speed
TopSpeedBoost =	-3.9999						; Top speed during boost
AccelerationForward = -5.0					; Acceleration of car (needs to ramp up in accordance with a curve)
AccelerationSteering = -4.0					; Acceleration to apply in lateral direction
AccelerationForwardAir = -1.0				; Acceleration to apply in forward direction while in the air
AccelerationSteeringAir = -5.0				; Acceleration to apply in lateral direction while in the air
Deceleration = -0.965						; Deceleration (must be below 1) 
DecelerationSteering = -0.95				; Deceleration while steering (must be below 1)
DecelerationChangeDirection = -5.0			; Deceleration while changing direction
DecelerationChangeDirectionSteering = -3.0	; Deceleration while steering and changing direction

DecelerationAir = -0.999					; Deceleration in the air
MaxSteeringTorque = -8.9					; Maximum torque
BoostAccelerationForward = -30.0			; Acceleration of car on TOP of regular acceleration 
BoostAccelerationSteering = -5.0			; Acceleration of car on TOP of regular acceleration steering
BoostAccelerationForwardAir = -3.0			; Acceleration of car on TOP of regular acceleration in the air
BoostAccelerationSteeringAir = -2.0			; Acceleration of car on TOP of regular acceleration steering in the air
	
BoostAmount = -3000							; Amount of boost
BoostDepletionPerTick = -10					; Boost depletion per 1/60 of a second
BoostRegenPerTick = -6						; Boost regeneration per 1/60 of a second
SteeringType = Manual 						; 0 = Automatic, 1 = Manual, you can use numbers or the names 
